id,ATP,Location,Tournament,Date,season,portion,Winner,Loser,Wsets,Lsets,B365W,B365L,PSW,PSL,LBW,LBL,SJW,SJL
77,4,Auckland,Heineken Open,07/01/2008,2008,1,Almagro N.,Acasuso J.,2,0,1.57,2.25,1.649,2.44,
78,4,Auckland,Heineken Open,07/01/2008,2008,1,Benneteau J.,Sela D.,2,0,1.61,2.25,1.758,2.22,2.28,1.571,
79,4,Auckland,Heineken Open,07/01/2008,2008,1,Chela J.I.,King-Turner D.,2,1,1.06,8,1.065,13.5,9.5,1.063,
80,4,Auckland,Heineken Open,07/01/2008,2008,1,Mayer F.,Querrey S.,2,0,2.62,1.44,2.51,1.621,1.47,2.5,
81,4,Auckland,Heineken Open,07/01/2008,2008,1,Montanes A.,Statham R.,2,0,1.16,4.5,1.195,5.64,
82,4,Auckland,Heineken Open,07/01/2008,2008,1,Rochus O.,Berrer M.,2,1,1.61,2.2,1.725,2.28,2.15,1.667,
83,4,Auckland,Heineken Open,07/01/2008,2008,1,Kohlschreiber P.,Russell M.,2,0,1.36,3,1.368,3.52,3.2,1.333,
84,4,Auckland,Heineken Open,07/01/2008,2008,1,Massu N.,Jones G.D.,2,0,1.16,4.5,1.192,5.71,6,1.16,
85,4,Auckland,Heineken Open,07/01/2008,2008,1,Roitman S.,Rosol L.,2,0,1.57,2.25,1.901,2.01,
86,4,Auckland,Heineken Open,08/01/2008,2008,1,Cilic M.,Cakl T.,2,0,1.22,4,1.278,4.3,4.2,1.22,
87,4,Auckland,Heineken Open,08/01/2008,2008,1,Ferrero J.C.,Levine J.,2,0,1.16,4.5,1.222,5.1,4.6,1.2,
88,4,Auckland,Heineken Open,08/01/2008,2008,1,Llodra M.,Lee H.T.,2,0,1.83,1.83,1.926,1.98,1.84,1.8,
89,4,Auckland,Heineken Open,08/01/2008,2008,1,Ferrer D.,Hernandez O.,2,0,1.02,12,1.056,15,15,1.063,
90,4,Auckland,Heineken Open,08/01/2008,2008,1,Malisse X.,Nieminen J.,2,0,1.72,2,1.833,2.1,1.96,1.727,
91,4,Auckland,Heineken Open,09/01/2008,2008,1,Monaco J.,Johansson T.,2,0,1.9,1.8,1.99,1.917,1.75,2,
92,4,Auckland,Heineken Open,09/01/2008,2008,1,Benneteau J.,Almagro N.,2,1,2.37,1.53,2.65,1.571,1.6,2.375,
93,4,Auckland,Heineken Open,09/01/2008,2008,1,Mayer F.,Chela J.I.,2,0,2.37,1.53,2.4,1.667,1.6,2.375,
94,4,Auckland,Heineken Open,09/01/2008,2008,1,Kohlschreiber P.,Cilic M.,2,1,,,1.41,3.24,
95,4,Auckland,Heineken Open,09/01/2008,2008,1,Llodra M.,Montanes A.,2,0,,,,,
96,4,Auckland,Heineken Open,09/01/2008,2008,1,Ferrer D.,Roitman S.,2,0,,,1.067,13,
97,4,Auckland,Heineken Open,09/01/2008,2008,1,Ferrero J.C.,Melzer J.,2,0,,,1.613,2.53,
98,4,Auckland,Heineken Open,09/01/2008,2008,1,Massu N.,Malisse X.,2,0,,,3.77,1.326,
99,4,Auckland,Heineken Open,09/01/2008,2008,1,Monaco J.,Rochus O.,2,0,1.61,2.2,1.617,2.52,
100,4,Auckland,Heineken Open,09/01/2008,2008,2,Kohlschreiber P.,Mayer F.,2,0,1.53,2.37,1.578,2.63,2.4,1.571,
101,4,Auckland,Heineken Open,10/01/2008,2008,2,Ferrero J.C.,Massu N.,2,1,1.4,2.75,1.488,2.85,2.6,1.44,
102,4,Auckland,Heineken Open,10/01/2008,2008,2,Monaco J.,Llodra M.,2,1,1.57,2.25,1.621,2.51,2.34,1.615,
103,4,Auckland,Heineken Open,10/01/2008,2008,2,Benneteau J.,Ferrer D.,2,0,5,1.14,5.75,1.19,1.18,4.333,
104,4,Auckland,Heineken Open,11/01/2008,2008,2,Kohlschreiber P.,Monaco J.,2,0,2.2,1.61,2.41,1.662,1.73,2.1,
